
; This is a Math-o-mir language definition file, you can define strings displayed
; in the Math-o-mir application by editing this file. The file should reside in 
; Math-o-mir application directory. Keep this file plain text, non-unicode.
;
; Each line starting with semicolon is a comment.
; Lines starting with numbers are defintions, the number is the ID that must not be changed
; Please change only text under quotation marks. Take care that the lenght of the 
; translated text doesn't differ much from the original english text.
;
; Language: GERMAN, Egon Rath, 2012



;*********************************************************************************
;*
;* Following section defines the main menu text
;*
;*********************************************************************************
;
;****************** the main items of the main menu ******************************
;
30001,"Datei";		--File--
30002,"Bearbeiten";	--Edit--
30003,"Anzeige";	--View--
30004,"Optionen";	--Options--
30005,"Hilfe";		--Help---
;
;******************* the file menu ************************************************
;
31000,"Neu";			--New--
31001,"Öffnen...";		--Open...--
31002,"Speichern	Ctrl+S";	--Save \t Ctrl+S--
31003,"Speichern als...";		--Save as...--
30101,"Automatisches speichern";	--Autosave--
32850,"Niemals";		--Never--
32855,"Niedrig";		--Low frequency--
32856,"Mittel";			--Medium frequency--
32857,"Oft";			--High frequency--
32854,"Öffne Autosave.mom";	--Load Autosave.mom--
31004,"Drucken";		--Print--
31005,"Druckvorschau";	--Print prview--
31006,"Drucker einrichten...";--Print setup--
31007,"Beenden";			--Exit--
;
;*********************** the Edit menu ********************************************
;
31101,"Rückgängig";					--Undo--
31102,"Ausschneiden	Ctrl+X";		--Cut \t Ctrl+X--
31103,"Kopieren		Ctrl+C";		--Copy \t Ctrl+C--
31104,"Einfügen		Ctrl+V";		--Paste \t Ctrl+V--
31105,"Löschen		Del";			--Delete \t Del--
32880,"Text suchen...";				--Find text--
32832,"Auf gesperrte Objekte zugreifen";	--Access Locked objects--- (this option enables you to access even object that are locked)
32813,"Objekte als Grafik kopieren	F9";	--Copy equation image \t F9-- (copies equation image into clipboard)
32846,"Objekte als Grafik speichern	F8";	--Save equation image \t F8-- (saves equation image to disk)
32871,"Objekte als LaTeX kopieren	F6";	--Copy LaTeX code \t F6--  (Copes LaTeX code into clipboard)
;
;************************* the View menu ******************************************
;
30301,"Zoom";							--Zoom--
32773,"Zoom 240%";						--Zoom 240%--
32774,"Zoom 150%";						--Zoom 150%--
32775,"Zoom 100%";						--Zoom 100%--
32776,"Zoom 80%";						--Zoom 80%--
32777,"Zoom 60%";						--Zoom 60%--
32778,"Zoom 40%";						--Zoom 40%--
32863,"Zoom vergrößern	F2";				--Zoom in \t F2--
32864,"Zoom verkleinern	F3";				--Zoom out \t F3--
32873,"Zoom zurücksetzen auf 1:1";			--Zoom to Default (1:1)--
30302,"Seitenformat";					--Page--
32799,"A4 Querformat";					--A4 portrait--
32800,"A4 Hochformat";					--A4 landscape--
32882,"Letter Querformat";				--Letter portrait--  ***TRANSLATE***
32883,"Letter Hochformat";				--Letter landscape --***TRANSLATE***
32896,"Seitennummerierung";				--Page numbering--   ***TRANSLATE***
32897,"Keine";						--None--	     ***TRANSLATE***
32898,"- 1 -";						--- 1 ---	     ***TRANSLATE***
32899,"- 1/10 -";					--- 1/10 ---	     ***TRANSLATE***
32900,"Seite 1 von 10";					--Page 1 of 10--     ***TRANSLATE***
32901,"Unten";						--Bottom--	     ***TRANSLATE***
32902,"Rechts";						--Right--	     ***TRANSLATE***
32903,"Ausnehmen erste Seite";				--Exclude firsta page-- ***TRANSLATE***
32838,"Seitenraster";					--Show grid--
30303,"Werkzeuge und Kontextmenü";		--Toolbox and context menu--
32885,"Sehr Groß";						--Very Large--  ***TRANSLATE***
32802,"Groß";							--Large--
32803,"Mittel";							--Medium--
32804,"Klein";							--Small--
32904,"Auto";						--Auto-resize--    ***TRANSLATE***
32881,"Symbolleiste";						--Show Toolbar--  ***TRANSLATE***
32797,"Halbton-Rendering";				--Halftone rendering-- (wheter halftoning is used when equation images are created)
32783,"Presentations-Rendering	F5";	--Presentation rendering \t F5--
;
;**************************** the Options menu ***************************************
;
30401,"Auswahl";				--Selections--
32793,"Automatischer Rahmen";			--Inteligent framing--
32848,"Ausgewählte Objekte fett darstellen";	--Bold selections--
30402,"Objekt Greifpunkt";			--Moving dot--
32827,"Groß";					--Large--
32828,"Mittel";					--Medium--
32829,"Klein";					--Small--
32830,"Immer anzeigen";				--Permanent--
30410,"Maus";					--Mouse--   		***TRANSLATE***
32878,"Mausrad-Funktion: Blättern";		--Mouse function: Scroll up/down-- ***TRANSLATE***
32893,"Mausrad-Funktion: Zoom";			--Mouse function: Zoom in/out-- ***TRANSLATE***
32894,"Hold right button to toggle the mouse-wheel function";	--Hold right button to toggle the mouse-wheel function-- ***TRANSLATE***
32858,"Mauszeiger folgt Zoom";			--Zooming with mouse wheel adjusts pointer-- (wheter mouse pointer is automatically repositioned on zoom)
32888,"Reverse direction for mouse wheel scrolling"; --Reverse direction for mouse wheel scrolling--    ***TRANSLATE ***
32895,"Slow-speed mouse-wheel scrolling";	--Slow-speed mouse-wheel scrolling-- ***TRANSLATE***
30403,"Tastatur";						--Keyboard--
32795,"Schrift mit fester Breite für Nummern";	--Fix font for numbers--
32862,"Benutze ALT+D,B,A für Zugriff auf das Menü";	--Use ALT+F,E,V for menu access-- 
32872,"F1 für Zoom 100%";		--Use F1 to set zoom level to 100%--
32884,"Mit CapsLock Schreibmodus schalten"; --Use CapsLock to toggle typing mode--    ***TRANSLATE***
32875,"Benutze Beistrich als Dezimaltrennzeichen";	--Allow comma as decimal separator--
32906,"Use complex indexes";			--Use complex indexes---		 ***TRANSLATE***
32859,"Allgemeiner Modus für Variablen";		--Prefer Multi-Letter variables--   ***TRANSLATE***
32840,"Einfacher Modus für Variablen";		--Prefer Single-Letter variables --     ***TRANSLATE***
30404,"Ausgabedatei";			--Output image--
32815,"Größe 200%";				--Size 200%--
32816,"Größe 150%";				--Size 150%--
32817,"Größe 100%";				--Size 100%--
32818,"Größe 80%";				--Size 80%--
32819,"Presentations-Rendering";		--Presentation rendering--
32820,"Halbton-Rendering";		--Halftone rendering--
32874,"Drucke Schriftarten als Grafik";		--Print font as images--
30405,"Schriftgröße und Zoom";			--Font size & Zoom--		***TRANSLATE***
32889,"Standard Zoom ist 150%";		--Default zoom is 150%--		***TRANSLATE***
32890,"Standard Zoom ist 120%";		--Default zoom is 120%--		***TRANSLATE***
32891,"Standard Zoom ist 100%";		--Default zoom is 100%--		***TRANSLATE***
32892,"Standard Zoom ist 80%";		--Default zoom is 80%--			***TRANSLATE***
32822,"Standard Schriftgröße -> Sehr groß";	--Default font size is Very large-- 	***TRANSLATE***
32823,"Standard Schriftgröße -> Groß";		--Default font size is Large-- 		***TRANSLATE***
32824,"Standard Schriftgröße -> Mittel";	--Default font size is Medium-- 	***TRANSLATE***
32825,"Standard Schriftgröße -> Klein";		--Default font size is Small--		***TRANSLATE***
30451,"Schriftarten";				--Font faces--
32866,"Schriftart 1";				--Font 1---
32867,"Schriftart 2";				--Font 2---
32868,"Schriftart 3";				--Font 3---
32869,"Schriftart 4";				--Font 4---
32870,"Schriftarten auf Standard zurücksetzen";	--Set Fonts to defaults--
;30406,"Klammerngröße";				--Parentheses height--
;32785,"Groß";					--Large--
;32786,"Normal";				--Normal--
;32787,"Klein";					--Small--
30407,"Raster und Hilfslinien";			--Grid and Guidelines--
32834,"Feines Raster";				--Fine grid--
32835,"Mittleres Raster";			--Medium grid--
32836,"Großes Raster";				--Coarse grid--
32837,"An Raster ausrichten			F11";		--Snap to grid \t F11--
32877,"An Hilfslinien ausrichten	F12";	--Snap to guidelines \t F12--
30408,"Symbolische Berechnungen";			--Symbolic computation--
32842,"Aktivieren";				--Enable--
30481,"Imaginäre Einheit";			--Imaginary unit--
30409,"Einstellungen speichern";			--Save settings--
32807,"Als Standard speichern";		--Save as default--
32808,"Speichern als...";				--Save as...--
32809,"Laden...";			--Load...--
;
;****************************** the Help menu **************************************
;
32831,"Schnellübersicht...";		--Handy help...--
31501,"Über Math-o-mir...";		--About Math-o-mir---



;*********************************************************************************
;*
;* Following section defines text displayed in context menus
;*
;*********************************************************************************
;
;******* guidelines/ruller menu - activated by right click to the ruller ********
;
820,"Allgemeine Hilfslinie";		--Normal guideline--
821,"Textuelle Hilfslinie";		--Text guideline--
822,"Hilfslinie für Zeilenumbruch";	--Text autowrap guideline--
